Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Sam Curran,England,Allrounder, 2018 - 2023,24y 257d,Left hand Bat,Left arm Medium fast
Liam Dawson,England,Allrounder, 2016 - 2022,32y 351d,Right hand Bat,Slow Left arm Orthodox
Ben Duckett,England,Top order Batter, 2016 - 2023,28y 121d,Left hand Bat,Right arm Offbreak
Chris Jordan,England,Bowler, 2013 - 2022,34y 134d,Right hand Bat,Right arm Fast medium
Liam Livingstone,England,Batting Allrounder, 2017 - 2022,29y 195d,Right hand Bat,Legbreak
Dawid Malan,England,Top order Batter, 2017 - 2023,35y 165d,Left hand Bat,Legbreak
Eoin Morgan,England,Middle order Batter, 2006 - 2022,36y 158d,Left hand Bat,Right arm Medium
Craig Overton,England,Bowling Allrounder, 2017 - 2022,28y 311d,Right hand Bat,Right arm Medium fast
David Payne,England,Bowler, 2022 - 2022,32y ,Right hand Bat,Left arm Fast medium
Matthew Potts,England,Bowler, 2022 - 2022,24y 109d,Right hand Bat,Right arm Fast medium
Adil Rashid,England,Bowler, 2009 - 2023,34y 363d,Right hand Bat,Legbreak
Joe Root,England,Top order Batter, 2012 - 2022,32y 47d,Right hand Bat,"Right arm Offbreak, Legbreak"
Jason Roy,England,Opening Batter, 2014 - 2023,32y 209d,Right hand Bat,
Phil Salt,England,Wicketkeeper Batter, 2021 - 2022,26y 171d,Right hand Bat,Right arm Offbreak
Ben Stokes,England,Allrounder, 2011 - 2022,31y 256d,Left hand Bat,Right arm Fast medium
Olly Stone,England,Bowler, 2018 - 2023,29y 129d,Right hand Bat,Right arm Fast
Reece Topley,England,Bowler, 2015 - 2023,28y 359d,Right hand Bat,Left arm Fast medium
James Vince,England,Batter, 2015 - 2022,31y 338d,Right hand Bat,Right arm Medium
David Willey,England,Bowling Allrounder, 2015 - 2023,32y 352d,Left hand Bat,Left arm Fast medium
Chris Woakes,England,Allrounder, 2011 - 2023,33y 350d,Right hand Bat,Right arm Fast medium
Luke Wood,England,Bowling Allrounder, 2022 - 2022,27y 197d,Left hand Bat,Left arm Fast medium
Arshdeep Singh,India,Bowler, 2022 - 2023,24y 10d,Left hand Bat,Left arm Medium fast
Avesh Khan,India,Bowler, 2022 - 2022,26y 64d,Right hand Bat,Right arm Fast medium
Jasprit Bumrah,India,Bowler, 2016 - 2022,29y 71d,Right hand Bat,Right arm Fast
Yuzvendra Chahal,India,Bowler, 2016 - 2023,32y 207d,Right hand Bat,Legbreak Googly
Deepak Chahar,India,Bowler, 2018 - 2022,30y 192d,Right hand Bat,Right arm Medium
Shikhar Dhawan,India,Opening Batter, 2010 - 2022,37y 72d,Left hand Bat,Right arm Offbreak
Ruturaj Gaikwad,India,Batter, 2021 - 2022,26y 15d,Right hand Bat,Right arm Offbreak
Deepak Hooda,India,Allrounder, 2022 - 2023,27y 302d,Right hand Bat,Right arm Offbreak
Ishan Kishan,India,Wicketkeeper Batter, 2021 - 2023,24y 212d,Left hand Bat,
Shreyas Iyer,India,Top order Batter, 2017 - 2023,28y 71d,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Ravindra Jadeja,India,Allrounder, 2009 - 2023,34y 71d,Left hand Bat,Slow Left arm Orthodox
Virat Kohli,India,Top order Batter, 2008 - 2023,34y 102d,Right hand Bat,Right arm Medium
Kuldeep Yadav,India,Bowler, 2014 - 2023,28y 63d,Left hand Bat,Left arm Wrist spin
Mohammed Shami,India,Bowler, 2013 - 2023,32y 165d,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler, 2017 - 2023,28y 339d,Right hand Bat,Right arm Fast
Hardik Pandya,India,Allrounder, 2016 - 2023,29y 127d,Right hand Bat,Right arm Medium fast
Rishabh Pant,India,Wicketkeeper Batter, 2017 - 2022,25y 134d,Left hand Bat,
Axar Patel,India,Bowling Allrounder, 2014 - 2023,29y 26d,Left hand Bat,Slow Left arm Orthodox
Prasidh Krishna,India,Bowler, 2021 - 2022,26y 361d,Right hand Bat,Right arm Fast medium
KL Rahul,India,Opening Batter, 2014 - 2023,30y 303d,Right hand Bat,
Ravi Bishnoi,India,Bowler, 2022 - 2022,22y 163d,Right hand Bat,Legbreak Googly
Sanju Samson,India,Wicketkeeper Batter, 2014 - 2023,28y 96d,Right hand Bat,
Kuldeep Sen,India,Bowler, 2022 - 2022,26y 116d,Right hand Bat,Right arm Fast
Shahbaz Ahmed,India,Allrounder, 2022 - 2022,28y 66d,Left hand Bat,Slow Left arm Orthodox
Rohit Sharma,India,Top order Batter, 2007 - 2023,35y 291d,Right hand Bat,Right arm Offbreak
Shubman Gill,India,Opening Batter, 2019 - 2023,23y 160d,Right hand Bat,Right arm Offbreak
Shardul Thakur,India,Bowler, 2017 - 2023,31y 122d,Right hand Bat,Right arm Medium
Umran Malik,India,Bowler, 2022 - 2023,23y 85d,Right hand Bat,Right arm Fast
Washington Sundar,India,Bowling Allrounder, 2017 - 2023,23y 133d,Left hand Bat,Right arm Offbreak
Suryakumar Yadav,India,Batter, 2021 - 2023,32y 154d,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Mark Adair,Ireland,Bowling Allrounder, 2016 - 2023,26y 325d,Right hand Bat,Right arm Fast medium
Andy Balbirnie,Ireland,Batter, 2010 - 2023,32y 49d,Right hand Bat,Right arm Offbreak
Curtis Campher,Ireland,Allrounder, 2020 - 2023,23y 301d,Right hand Bat,Right arm Medium fast
Murray Commins,Ireland,Batter, 2023 - 2023,26y 44d,Left hand Bat,
Gareth Delany,Ireland,Batting Allrounder, 2019 - 2023,25y 293d,Right hand Bat,Legbreak Googly
George Dockrell,Ireland,Allrounder, 2010 - 2023,30y 208d,Right hand Bat,Slow Left arm Orthodox
Stephen Doheny,Ireland,Opening Batter, 2023 - 2023,24y 179d,Right hand Bat,
Graham Hume,Ireland,Bowler, 2022 - 2023,32y 84d,Left hand Bat,Right arm Fast medium
Josh Little,Ireland,Bowler, 2016 - 2023,23y 106d,Right hand Bat,Left arm Fast medium
Andy McBrine,Ireland,Bowler, 2014 - 2023,29y 291d,Left hand Bat,Right arm Offbreak
Simi Singh,Ireland,Bowling Allrounder, 2017 - 2022,36y 11d,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Paul Stirling,Ireland,Batting Allrounder, 2008 - 2023,32y 165d,Right hand Bat,Right arm Offbreak
Harry Tector,Ireland,Middle order Batter, 2019 - 2023,23y 71d,Right hand Bat,Right arm Offbreak
Lorcan Tucker,Ireland,Wicketkeeper Batter, 2016 - 2023,26y 158d,Right hand Bat,
Craig Young,Ireland,Bowler, 2014 - 2022,32y 317d,Right hand Bat,Right arm Fast medium
Finn Allen,New Zealand,Top order Batter, 2021 - 2023,23y 299d,Right hand Bat,
Trent Boult,New Zealand,Bowler, 2011 - 2022,33y 208d,Right hand Bat,Left arm Fast medium
Doug Bracewell,New Zealand,Bowler, 2011 - 2022,32y 140d,Right hand Bat,Right arm Fast medium
Michael Bracewell,New Zealand,Batting Allrounder, 2022 - 2023,32y 1d,Left hand Bat,Right arm Offbreak
Mark Chapman,New Zealand,Allrounder, 2014 - 2023,28y 233d,Left hand Bat,Slow Left arm Orthodox
Dane Cleaver,New Zealand,Wicketkeeper Batter, 2022 - 2022,31y 45d,Right hand Bat,Legbreak
Devon Conway,New Zealand,Wicketkeeper Batter, 2020 - 2023,31y 222d,Left hand Bat,Right arm Medium
Colin de Grandhomme,New Zealand,Allrounder, 2012 - 2022,36y 208d,Right hand Bat,Right arm Medium fast
