Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Brandon Mavuta,Zimbabwe,Allrounder, 2018 - 2023,25y 348d,Right hand Bat,Legbreak
Tony Munyonga,Zimbabwe,Allrounder, 2019 - 2023,24y 15d,Right hand Bat,Right arm Offbreak
Tarisai Musakanda,Zimbabwe,Top order Batter, 2016 - 2022,28y 107d,Right hand Bat,"Right arm Medium, Right arm Slow medium"
Blessing Muzarabani,Zimbabwe,Bowler, 2017 - 2022,26y 136d,Right hand Bat,Right arm Fast medium
Dion Myers,Zimbabwe,Top order Batter, 2021 - 2022,20y 331d,Right hand Bat,Right arm Medium
Richard Ngarava,Zimbabwe,Bowler, 2017 - 2023,25y 49d,Left hand Bat,Left arm Fast medium
Victor Nyauchi,Zimbabwe,Bowler, 2020 - 2023,30y 222d,Right hand Bat,Right arm Fast medium
Milton Shumba,Zimbabwe,Top order Batter, 2020 - 2023,22y 119d,Left hand Bat,Slow Left arm Orthodox
Sikandar Raza,Zimbabwe,Batting Allrounder, 2013 - 2023,36y 297d,Right hand Bat,Right arm Offbreak
Donald Tiripano,Zimbabwe,Bowler, 2014 - 2023,34y 335d,Right hand Bat,Right arm Fast medium
Sean Williams,Zimbabwe,Middle order Batter, 2005 - 2023,36y 142d,Left hand Bat,Slow Left arm Orthodox
