Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Brandon Mavuta,Zimbabwe,Allrounder, 2018 - 2023,25y 350d,Right hand Bat,Legbreak
Tony Munyonga,Zimbabwe,Allrounder, 2019 - 2023,24y 17d,Right hand Bat,Right arm Offbreak
Tarisai Musakanda,Zimbabwe,Top order Batter, 2016 - 2022,28y 109d,Right hand Bat,"Right arm Medium, Right arm Slow medium"
Blessing Muzarabani,Zimbabwe,Bowler, 2017 - 2022,26y 138d,Right hand Bat,Right arm Fast medium
Dion Myers,Zimbabwe,Top order Batter, 2021 - 2022,20y 333d,Right hand Bat,Right arm Medium
Richard Ngarava,Zimbabwe,Bowler, 2017 - 2023,25y 51d,Left hand Bat,Left arm Fast medium
Victor Nyauchi,Zimbabwe,Bowler, 2020 - 2023,30y 224d,Right hand Bat,Right arm Fast medium
Milton Shumba,Zimbabwe,Top order Batter, 2020 - 2023,22y 121d,Left hand Bat,Slow Left arm Orthodox
Sikandar Raza,Zimbabwe,Batting Allrounder, 2013 - 2023,36y 299d,Right hand Bat,Right arm Offbreak
Donald Tiripano,Zimbabwe,Bowler, 2014 - 2023,34y 337d,Right hand Bat,Right arm Fast medium
Sean Williams,Zimbabwe,Middle order Batter, 2005 - 2023,36y 144d,Left hand Bat,Slow Left arm Orthodox
