Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
England vs West Indies,England,West Indies,England,2 wickets,Gujranwala,"Oct 9, 1987",ODI # 452
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,3 runs,Hyderabad (Deccan),"Oct 10, 1987",ODI # 454
Pakistan vs England,Pakistan,England,Pakistan,18 runs,Rawalpindi,"Oct 12-13, 1987",ODI # 455
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,96 runs,Chennai,"Oct 13, 1987",ODI # 456
Sri Lanka vs West Indies,Sri Lanka,West Indies,West Indies,191 runs,Karachi,"Oct 13, 1987",ODI # 457
India vs New Zealand,India,New Zealand,India,16 runs,Bengaluru,"Oct 14, 1987",ODI # 458
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,1 wicket,Lahore,"Oct 16, 1987",ODI # 459
India vs Zimbabwe,India,Zimbabwe,India,8 wickets,Wankhede,"Oct 17, 1987",ODI # 461
England vs Sri Lanka,England,Sri Lanka,England,108 runs,Peshawar,"Oct 17, 1987",ODI # 460
Australia vs New Zealand,Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987",ODI # 462
Pakistan vs England,Pakistan,England,Pakistan,7 wickets,Karachi,"Oct 20, 1987",ODI # 463
Sri Lanka vs West Indies,Sri Lanka,West Indies,West Indies,25 runs,Kanpur,"Oct 21, 1987",ODI # 464
India vs Australia,India,Australia,India,56 runs,Delhi,"Oct 22, 1987",ODI # 465
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,4 wickets,Eden Gardens,"Oct 23, 1987",ODI # 466
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,113 runs,Faisalabad,"Oct 25, 1987",ODI # 467
England vs West Indies,England,West Indies,England,34 runs,Jaipur,"Oct 26, 1987",ODI # 468
India vs Zimbabwe,India,Zimbabwe,India,7 wickets,Ahmedabad,"Oct 26, 1987",ODI # 469
Australia vs New Zealand,Australia,New Zealand,Australia,17 runs,Chandigarh,"Oct 27, 1987",ODI # 470
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,70 runs,Cuttack,"Oct 30, 1987",ODI # 471
England vs Sri Lanka,England,Sri Lanka,England,8 wickets,Pune,"Oct 30, 1987",ODI # 472
Pakistan vs West Indies,Pakistan,West Indies,West Indies,28 runs,Karachi,"Oct 30, 1987",ODI # 473
India vs New Zealand,India,New Zealand,India,9 wickets,Nagpur,"Oct 31, 1987",ODI # 474
Pakistan vs Australia,Pakistan,Australia,Australia,18 runs,Lahore,"Nov 4, 1987",ODI # 475
India vs England,India,England,England,35 runs,Wankhede,"Nov 5, 1987",ODI # 476
Australia vs England,Australia,England,Australia,7 runs,Eden Gardens,"Nov 8, 1987",ODI # 477
New Zealand vs Australia,New Zealand,Australia,New Zealand,37 runs,Auckland,"Feb 22, 1992",ODI # 714
England vs India,England,India,England,9 runs,Perth,"Feb 22, 1992",ODI # 715
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,3 wickets,New Plymouth,"Feb 23, 1992",ODI # 716
Pakistan vs West Indies,Pakistan,West Indies,West Indies,10 wickets,Melbourne,"Feb 23, 1992",ODI # 717
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton,"Feb 25, 1992",ODI # 718
Australia vs South Africa,Australia,South Africa,South Africa,9 wickets,Sydney,"Feb 26, 1992",ODI # 719
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,53 runs,Hobart,"Feb 27, 1992",ODI # 720
England vs West Indies,England,West Indies,England,6 wickets,Melbourne,"Feb 27, 1992",ODI # 721
India vs Sri Lanka,India,Sri Lanka,no result,,Mackay,"Feb 28, 1992",ODI # 722
New Zealand vs South Africa,New Zealand,South Africa,New Zealand,7 wickets,Auckland,"Feb 29, 1992",ODI # 723
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,75 runs,Brisbane,"Feb 29, 1992",ODI # 724
Australia vs India,Australia,India,Australia,1 run,Brisbane,"Mar 1, 1992",ODI # 725
England vs Pakistan,England,Pakistan,no result,,Adelaide,"Mar 1, 1992",ODI # 726
South Africa vs Sri Lanka,South Africa,Sri Lanka,Sri Lanka,3 wickets,Wellington,"Mar 2, 1992",ODI # 727
